idx, row, col, L_finger, L_coupler, f0_design, f0_meas, f0_design_nibble, L_finger_nibble, f0_meas_nibble
1.210000e+02,1.000000e+00,1.300000e+01,3.889524e+02,6.610826e+01,5.194472e+00,5.355867e+00,5.356280e+00,3.889524e+02,5.319878e+00
1.220000e+02,2.000000e+00,0.000000e+00,3.867682e+02,6.596907e+01,5.203518e+00,5.370675e+00,5.371091e+00,3.867682e+02,5.334717e+00
1.230000e+02,3.000000e+00,7.000000e+00,3.848452e+02,6.579052e+01,5.212563e+00,5.375861e+00,5.378633e+00,3.848452e+02,5.341809e+00
1.240000e+02,4.000000e+00,1.400000e+01,3.831277e+02,6.564800e+01,5.221608e+00,5.385889e+00,5.386309e+00,3.831277e+02,5.350369e+00
1.250000e+02,5.000000e+00,1.000000e+00,3.814664e+02,6.547372e+01,5.230653e+00,5.395511e+00,5.395933e+00,3.814664e+02,5.359085e+00
1.260000e+02,6.000000e+00,8.000000e+00,3.797778e+02,6.532686e+01,5.239698e+00,5.398666e+00,5.403447e+00,3.797778e+02,5.367770e+00
1.270000e+02,7.000000e+00,1.500000e+01,3.780212e+02,6.517682e+01,5.248744e+00,5.408663e+00,5.410916e+00,3.780212e+02,5.373924e+00
1.280000e+02,8.000000e+00,2.000000e+00,3.761610e+02,6.503898e+01,5.257789e+00,5.426595e+00,5.429100e+00,3.761610e+02,5.393106e+00
1.290000e+02,9.000000e+00,9.000000e+00,3.741800e+02,6.493303e+01,5.266834e+00,5.421159e+00,5.421589e+00,3.741800e+02,5.384765e+00
1.300000e+02,1.000000e+01,1.600000e+01,3.721207e+02,6.484380e+01,5.275879e+00,5.440653e+00,5.441085e+00,3.721207e+02,5.405258e+00
1.310000e+02,1.100000e+01,3.000000e+00,3.701270e+02,6.476816e+01,5.284925e+00,5.451369e+00,5.456049e+00,3.701270e+02,5.418379e+00
1.320000e+02,1.200000e+01,1.000000e+01,3.682712e+02,6.469437e+01,5.293970e+00,nan,nan,nan,nan
1.330000e+02,1.300000e+01,1.700000e+01,3.664669e+02,6.463723e+01,5.303015e+00,5.469082e+00,5.469521e+00,3.664669e+02,5.432000e+00
1.340000e+02,1.400000e+01,4.000000e+00,3.645980e+02,6.458115e+01,5.312060e+00,5.484796e+00,5.485237e+00,3.645980e+02,5.448714e+00
1.350000e+02,1.500000e+01,1.100000e+01,3.626404e+02,6.456454e+01,5.321106e+00,5.493606e+00,5.494049e+00,3.626404e+02,5.456899e+00
1.360000e+02,1.600000e+01,1.800000e+01,3.607725e+02,6.450675e+01,5.330151e+00,5.511163e+00,5.511609e+00,3.607725e+02,5.475831e+00
1.370000e+02,1.700000e+01,5.000000e+00,3.593574e+02,6.414105e+01,5.339196e+00,5.514662e+00,5.519064e+00,3.593574e+02,5.481485e+00
1.380000e+02,1.800000e+01,1.200000e+01,3.578030e+02,6.375827e+01,5.348241e+00,5.526096e+00,5.526545e+00,3.578030e+02,5.490326e+00
1.390000e+02,1.900000e+01,1.900000e+01,3.561807e+02,6.338002e+01,5.357286e+00,5.446558e+00,5.448679e+00,3.561807e+02,5.411319e+00
1.400000e+02,0.000000e+00,7.000000e+00,3.545415e+02,6.300864e+01,5.366332e+00,5.496168e+00,5.501642e+00,3.545415e+02,5.464147e+00
1.410000e+02,1.000000e+00,1.400000e+01,3.529151e+02,6.262976e+01,5.375377e+00,5.544996e+00,5.545452e+00,3.529151e+02,5.507758e+00
1.420000e+02,2.000000e+00,1.000000e+00,3.513312e+02,6.227670e+01,5.384422e+00,5.566021e+00,5.570490e+00,3.513312e+02,5.533344e+00
1.430000e+02,3.000000e+00,8.000000e+00,3.497124e+02,6.191731e+01,5.393467e+00,5.562585e+00,5.563045e+00,3.497124e+02,5.525066e+00
1.440000e+02,4.000000e+00,1.500000e+01,3.480500e+02,6.157198e+01,5.402513e+00,5.581517e+00,5.581978e+00,3.480500e+02,5.545341e+00
1.450000e+02,5.000000e+00,2.000000e+00,3.463910e+02,6.123402e+01,5.411558e+00,5.585984e+00,5.589401e+00,3.463910e+02,5.550901e+00
1.460000e+02,6.000000e+00,9.000000e+00,3.447994e+02,6.088883e+01,5.420603e+00,5.594919e+00,5.596968e+00,3.447994e+02,5.560024e+00
1.470000e+02,7.000000e+00,1.600000e+01,3.433208e+02,6.054863e+01,5.429648e+00,5.597074e+00,5.604406e+00,3.433208e+02,5.565678e+00
1.480000e+02,8.000000e+00,3.000000e+00,3.418734e+02,6.022285e+01,5.438693e+00,5.616318e+00,5.619686e+00,3.418734e+02,5.582579e+00
1.490000e+02,9.000000e+00,1.000000e+01,3.404210e+02,5.989819e+01,5.447739e+00,5.611789e+00,5.612261e+00,3.404210e+02,5.574176e+00
1.500000e+02,1.000000e+01,1.700000e+01,3.389449e+02,5.956984e+01,5.456784e+00,5.631782e+00,5.634728e+00,3.389449e+02,5.597856e+00
1.510000e+02,1.100000e+01,4.000000e+00,3.373913e+02,5.926239e+01,5.465829e+00,5.637843e+00,5.642202e+00,3.373913e+02,5.603479e+00
1.520000e+02,1.200000e+01,1.100000e+01,3.357629e+02,5.894940e+01,5.474874e+00,5.642560e+00,5.649665e+00,3.357629e+02,5.612539e+00
1.530000e+02,1.300000e+01,1.800000e+01,3.340620e+02,5.864551e+01,5.483920e+00,5.664710e+00,5.665191e+00,3.340620e+02,5.626566e+00
1.540000e+02,1.400000e+01,5.000000e+00,3.323201e+02,5.834654e+01,5.492965e+00,5.674519e+00,5.675003e+00,3.323201e+02,5.637562e+00
1.550000e+02,1.500000e+01,1.200000e+01,3.306197e+02,5.804051e+01,5.502010e+00,5.682954e+00,5.683441e+00,3.306197e+02,5.644904e+00
1.560000e+02,1.600000e+01,1.900000e+01,3.290522e+02,5.773428e+01,5.511055e+00,5.621192e+00,5.627379e+00,3.290522e+02,5.588671e+00
1.570000e+02,1.700000e+01,6.000000e+00,3.276660e+02,5.743225e+01,5.520101e+00,5.701417e+00,5.708734e+00,3.276660e+02,5.669303e+00
1.580000e+02,1.800000e+01,1.300000e+01,3.263286e+02,5.712567e+01,5.529146e+00,5.718100e+00,5.718593e+00,3.263286e+02,5.681080e+00
1.590000e+02,1.900000e+01,0.000000e+00,3.250306e+02,5.681473e+01,5.538191e+00,5.686953e+00,5.690939e+00,3.250306e+02,5.651683e+00
1.600000e+02,0.000000e+00,8.000000e+00,3.237445e+02,5.650672e+01,5.547236e+00,5.700918e+00,5.701415e+00,3.237445e+02,5.663648e+00
1.610000e+02,1.000000e+00,1.500000e+01,3.224463e+02,5.620300e+01,5.556281e+00,5.736219e+00,5.736719e+00,3.224463e+02,5.697669e+00
1.620000e+02,2.000000e+00,2.000000e+00,3.211311e+02,5.590509e+01,5.565327e+00,5.748622e+00,5.749123e+00,3.211311e+02,5.711134e+00
1.630000e+02,3.000000e+00,9.000000e+00,3.197660e+02,5.560815e+01,5.574372e+00,5.751027e+00,5.756479e+00,3.197660e+02,5.716257e+00
1.640000e+02,4.000000e+00,1.600000e+01,3.183600e+02,5.531678e+01,5.583417e+00,5.765554e+00,5.766060e+00,3.183600e+02,5.728410e+00
1.650000e+02,5.000000e+00,3.000000e+00,3.169031e+02,5.503768e+01,5.592462e+00,5.768678e+00,5.773456e+00,3.169031e+02,5.733752e+00
1.660000e+02,6.000000e+00,1.000000e+01,3.153541e+02,5.483878e+01,5.601508e+00,5.783424e+00,5.788402e+00,3.153541e+02,5.750153e+00
1.670000e+02,7.000000e+00,1.700000e+01,3.137341e+02,5.465383e+01,5.610553e+00,5.788297e+00,5.795868e+00,3.137341e+02,5.755495e+00
1.680000e+02,8.000000e+00,4.000000e+00,3.120505e+02,5.448034e+01,5.619598e+00,5.800106e+00,5.803494e+00,3.120505e+02,5.765242e+00
1.690000e+02,9.000000e+00,1.100000e+01,3.103172e+02,5.431523e+01,5.628643e+00,5.805292e+00,5.810936e+00,3.103172e+02,5.771084e+00
1.700000e+02,1.000000e+01,1.800000e+01,3.085745e+02,5.415538e+01,5.637688e+00,5.833815e+00,5.834337e+00,3.085745e+02,5.796045e+00
1.710000e+02,1.100000e+01,5.000000e+00,3.068925e+02,5.399933e+01,5.646734e+00,5.825130e+00,5.825655e+00,3.068925e+02,5.785892e+00
1.720000e+02,1.200000e+01,1.200000e+01,3.054130e+02,5.383869e+01,5.655779e+00,nan,nan,nan,nan
1.730000e+02,1.300000e+01,1.900000e+01,3.040757e+02,5.367545e+01,5.664824e+00,5.776238e+00,5.781166e+00,3.040757e+02,5.741093e+00
1.740000e+02,1.400000e+01,6.000000e+00,3.028067e+02,5.351106e+01,5.673869e+00,5.863056e+00,5.863589e+00,3.028067e+02,5.824974e+00
1.750000e+02,1.500000e+01,1.300000e+01,3.016069e+02,5.334590e+01,5.682915e+00,5.872334e+00,5.879561e+00,3.016069e+02,5.839438e+00
1.760000e+02,1.600000e+01,0.000000e+00,3.004133e+02,5.318258e+01,5.691960e+00,5.894921e+00,5.903726e+00,3.004133e+02,5.862119e+00
1.770000e+02,1.700000e+01,7.000000e+00,2.992262e+02,5.302115e+01,5.701005e+00,5.888517e+00,5.889056e+00,2.992262e+02,5.849060e+00
1.780000e+02,1.800000e+01,1.400000e+01,2.980167e+02,5.286408e+01,5.710050e+00,5.904043e+00,5.911291e+00,2.980167e+02,5.872428e+00
1.790000e+02,1.900000e+01,1.000000e+00,2.967933e+02,5.270914e+01,5.719095e+00,5.871740e+00,5.872285e+00,2.967933e+02,5.832222e+00
1.800000e+02,0.000000e+00,9.000000e+00,2.955250e+02,5.255996e+01,5.728141e+00,5.893859e+00,5.896532e+00,2.955250e+02,5.857121e+00
1.810000e+02,1.000000e+00,1.600000e+01,2.942118e+02,5.241313e+01,5.737186e+00,5.926005e+00,5.926555e+00,2.942118e+02,5.886080e+00
1.820000e+02,2.000000e+00,3.000000e+00,2.928580e+02,5.226920e+01,5.746231e+00,5.939907e+00,5.940460e+00,2.928580e+02,5.901013e+00
1.830000e+02,3.000000e+00,1.000000e+01,2.914239e+02,5.213656e+01,5.755276e+00,5.941625e+00,5.955056e+00,2.914239e+02,5.912260e+00
1.840000e+02,4.000000e+00,1.700000e+01,2.899287e+02,5.200815e+01,5.764322e+00,5.962150e+00,5.970201e+00,2.899287e+02,5.933222e+00
1.850000e+02,5.000000e+00,4.000000e+00,2.883793e+02,5.188482e+01,5.773367e+00,5.959276e+00,5.962874e+00,2.883793e+02,5.921726e+00
1.860000e+02,6.000000e+00,1.100000e+01,2.867798e+02,5.176811e+01,5.782412e+00,5.978021e+00,5.978585e+00,2.867798e+02,5.939189e+00
1.870000e+02,7.000000e+00,1.800000e+01,2.851476e+02,5.166049e+01,5.791457e+00,5.984456e+00,5.986035e+00,2.851476e+02,5.945062e+00
1.880000e+02,8.000000e+00,5.000000e+00,2.835647e+02,5.154738e+01,5.800503e+00,5.998014e+00,5.998586e+00,2.835647e+02,5.959121e+00
1.890000e+02,9.000000e+00,1.200000e+01,2.821124e+02,5.143662e+01,5.809548e+00,6.002763e+00,6.006039e+00,2.821124e+02,5.964744e+00
1.900000e+02,1.000000e+01,1.900000e+01,2.807619e+02,5.132693e+01,5.818593e+00,5.940063e+00,5.948051e+00,2.807619e+02,5.907793e+00
1.910000e+02,1.100000e+01,6.000000e+00,2.795426e+02,5.121508e+01,5.827638e+00,6.020351e+00,6.020932e+00,2.795426e+02,5.979802e+00
1.920000e+02,1.200000e+01,1.300000e+01,2.783480e+02,5.109869e+01,5.836683e+00,6.029817e+00,6.030401e+00,2.783480e+02,5.990767e+00
1.930000e+02,1.300000e+01,0.000000e+00,2.771734e+02,5.097866e+01,5.845729e+00,6.051935e+00,6.052522e+00,2.771734e+02,6.011105e+00
1.940000e+02,1.400000e+01,7.000000e+00,2.759741e+02,5.086803e+01,5.854774e+00,6.054029e+00,6.059881e+00,2.759741e+02,6.017384e+00
1.950000e+02,1.500000e+01,1.400000e+01,2.747571e+02,5.076020e+01,5.863819e+00,6.066494e+00,6.067085e+00,2.747571e+02,6.025725e+00
1.960000e+02,1.600000e+01,1.000000e+00,2.734829e+02,5.065727e+01,5.872864e+00,6.092642e+00,6.093237e+00,2.734829e+02,6.052998e+00
1.970000e+02,1.700000e+01,8.000000e+00,2.721531e+02,5.055239e+01,5.881910e+00,6.085144e+00,6.085742e+00,2.721531e+02,6.044376e+00
1.980000e+02,1.800000e+01,1.500000e+01,2.707768e+02,5.044929e+01,5.890955e+00,6.104013e+00,6.104615e+00,2.707768e+02,6.064745e+00
