# row col f0[GHz]
27 10 7.498943
4 4 7.588608
12 20 7.431042
20 4 7.520832
28 20 7.515285
5 14 7.512801
13 30 7.605513
21 14 7.425073
29 30 7.642291
6 24 7.565094
14 8 7.486819
22 24 7.519066
30 8 7.589983
7 2 7.637464
15 18 7.465492
23 2 7.617200
31 18 7.695084
0 29 7.823262
8 13 7.532253
16 29 7.650541
24 13 7.500865
1 7 7.693819
9 23 7.574000
17 7 7.550173
25 23 7.586139
2 17 7.682226
10 1 7.708240
18 17 7.504411
26 1 7.696366
3 27 7.724457
11 11 7.556454
19 27 7.670758
27 11 7.620762
4 5 7.712474
12 21 7.566078
20 5 7.637979
28 21 7.663712
5 15 7.657806
13 31 7.926489
21 15 7.559845
29 31 7.939269
6 25 7.715349
14 9 7.622465
22 25 7.699022
30 9 7.744050
7 3 7.772422
15 19 7.594920
23 3 7.728551
31 19 7.853495
0 30 7.942082
8 14 7.658603
16 30 7.788234
24 14 7.642557
1 8 7.811857
9 24 7.738159
17 8 7.673539
25 24 7.742862
2 18 7.804904
10 2 7.812669
18 18 7.650228
26 2 7.821606
3 28 7.871306
11 12 7.684585
19 28 7.801202
27 12 7.752596
4 6 7.827512
12 22 7.722239
20 6 7.769860
28 22 7.789687
5 16 7.785203
13 0 7.909803
21 16 7.701787
29 0 7.914287
6 26 7.868259
14 10 7.726113
22 26 7.841027
30 10 7.869446
7 4 7.880258
15 20 7.752736
23 4 7.858650
31 20 7.964080
0 31 8.192969
8 15 7.758423
16 31 8.181673
24 15 7.740253
1 9 7.903881
9 25 7.840402
17 9 7.774079
25 25 7.877790
2 19 7.916959
10 3 7.881664
18 19 7.754971
26 3 7.889554
3 29 7.963314
11 13 7.775469
19 29 7.927770
27 13 7.847370
4 7 7.894882
12 23 7.828309
20 7 7.822106
28 23 7.889945
5 17 7.885976
13 1 7.952847
21 17 7.788437
29 1 7.963439
6 27 7.948362
14 11 7.815357
22 27 7.939598
30 11 7.934988
7 5 7.946253
15 21 7.851088
23 5 7.920833
31 21 8.047230
